Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language
Developmental Milestones,4.8.6.6.7.3,V.C.2.c,Pronounces basic phonic sounds correctly while writing.,,,,PK,
Standard,4.8.6.6.8,V.C.3,Writes words or part of words,,,,PK,
Developmental Milestones,4.8.6.6.8.1,V.C.3.a,Recognizes and Replicates Letters,,,,PK,
Developmental Milestones,4.8.6.6.8.2,V.C.3.b,Combines Letters into Words,,,,PK,
Developmental Milestones,4.8.6.6.8.3,V.C.3.c,Writing Legibility,,,,PK,
Standard,4.8.6.6.9,V.C.4,Uses appropriate writing directionality,,,,PK,
Developmental Milestones,4.8.6.6.9.1,V.C.4.a,Demonstrates Basic Letter Formation,,,,PK,
Developmental Milestones,4.8.6.6.9.2,V.C.4.b,Understands Left-to-Right Progression,,,,PK,
Developmental Milestones,4.8.6.6.9.3,V.C.4.c,Applies Top-to-Bottom Line Usage,,,,PK,
Standard,4.8.6.6.10,V.C.5,Begins to use punctuation,,,,PK,
Developmental Milestones,4.8.6.6.10.1,V.C.5.a,Understands and Identifies Punctuation Marks,,,,PK,
Developmental Milestones,4.8.6.6.10.2,V.C.5.b,Uses Punctuation in Writing,,,,PK,
Developmental Milestones,4.8.6.6.10.3,V.C.5.c,Understands the Need for Punctuation,,,,PK,
Developmental Milestones,4.8.6.6.11,V.C.6,can write 3 words in two other indigenous languages,,Washington Stanard,,PK,
Domain,5,MATH,Domain #4: Mathematics Development/ Cognition,,,,,
Standard,5.1,MATH.1,Child knows number names and the count sequence,,,,,
Label,5.1.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.1.1.1,,"Notices differences in the number of objects (e.g., one versus many).",,,,,
Label,5.1.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.1.2.1,,"Points to objects or shows interest in grouping items (e.g., stacking rings).",,,,,
Label,5.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.1.3.1,,"Begins using number words during play (e.g., “one, two”).",,,,,
Label,5.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.1.4.1,,Counts objects up to three with guidance.,,,,,
Label,5.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.1.5.1,MATH.1.a,Child can accurately identify numbers when named or written.,,,,,
Developmental Milestones,5.1.5.2,MATH.1.b,Child can recite the numerical order sequence correctly.,,,,,
Developmental Milestones,5.1.5.3,MATH.1.c,Child can associate specific quantities with their corresponding number names.,,,,,
Label,5.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.1.6.1,VI.A.13,Begins to write numerals,,,,PK,
Developmental Milestones,5.1.6.1.1,VI.A.13.a,Recognizes and Identifies Numerals,,,,PK,
Developmental Milestones,5.1.6.1.2,VI.A.13.b,Understands the Concept of Numerals,,,,PK,
Developmental Milestones,5.1.6.1.3,VI.A.13.c,Mastering Number Formation,,,,PK,
Standard,5.1.6.2,VI.A.12,Identifies quantity to 5 without counting,,,,PK,
Developmental Milestones,5.1.6.2.1,VI.A.12.a,Recognizes Numerals Up to 5,,,,PK,
Developmental Milestones,5.1.6.2.2,VI.A.12.b,Understands Concepts of Quantity,,,,PK,
Developmental Milestones,5.1.6.2.3,VI.A.12.c,Estimation Skills,,,,PK,
Standard,5.1.6.3,VI.A.11,Uses ordinal terms,,,,PK,
Developmental Milestones,5.1.6.3.1,VI.A.11.a,Identifies and applies ordinal terms in daily activities and routines.,,,,PK,
Developmental Milestones,5.1.6.3.2,VI.A.11.b,Associates ordinal terms with numerical order and sequential tasks.,,,,PK,
Developmental Milestones,5.1.6.3.3,VI.A.11.c,"Uses ordinal terms correctly in meaningful contexts, such as storytelling or game playing.",,,,PK,
Standard,5.1.6.4,VI.A.8,Recognizes and names numerals 0-9,,,,PK,
Developmental Milestones,5.1.6.4.1,VI.A.8.a,Identifying Numerals,,,,PK,
Developmental Milestones,5.1.6.4.2,VI.A.8.b,Number Naming,,,,PK,
Developmental Milestones,5.1.6.4.3,VI.A.8.c,Numeric Association,,,,PK,
Developmental Milestones,5.1.6.4.4,VI.A.8.d,Recognizes and names numerals 0-10.,,,,PK,
Developmental Milestones,5.1.6.4.5,VI.A.8.e,Recognize that zero represents the count of no objects.,,,,PK,
Standard,5.1.6.5,VI.A.6,Knows last count shows how many,,,,PK,
Developmental Milestones,5.1.6.5.1,VI.A.6.a,Identifying Numerical Values,,,,PK,
Developmental Milestones,5.1.6.5.2,VI.A.6.b,Understanding Sequence of Numbers,,,,PK,
Developmental Milestones,5.1.6.5.3,VI.A.6.c,Associating Numbers with Quantity,,,,PK,
Standard,5.1.6.6,VI.A.5,Know counting sequence is constant,,,,PK,
Developmental Milestones,5.1.6.6.1,VI.A.5.a,Recognizing and Identifying Numbers,,,,PK,
Developmental Milestones,5.1.6.6.2,VI.A.5.b,Sequential Counting,,,,PK,
Developmental Milestones,5.1.6.6.3,VI.A.5.c,Constant Counting Principle,,,,PK,
Standard,5.1.6.7,VI.A.1,Rote counts to 5,,,,PK,
Developmental Milestones,5.1.6.7.1,VI.A.1.a,Recognizes and Recites Numbers 1-5,,,,PK,
Developmental Milestones,5.1.6.7.2,VI.A.1.b,Understands Sequential Order,,,,PK,
Developmental Milestones,5.1.6.7.3,VI.A.1.c,Applies Counting in Practical Situations,,,,PK,
Standard,5.1.6.8,VI.A.2,Rote counts to 10,,,,PK,
Developmental Milestones,5.1.6.8.1,VI.A.2.a,Recognizes Numbers,,,,PK,
Developmental Milestones,5.1.6.8.2,VI.A.2.b,Sequential Numbering,,,,PK,
Developmental Milestones,5.1.6.8.3,VI.A.2.c,Repetitive Number Recital,,,,PK,
Standard,5.1.6.9,VI.A.3,Rote counts to 30,,,,PK,
Developmental Milestones,5.1.6.9.1,VI.A.3.a,Identifies Numbers Up to 30,,,,PK,
Developmental Milestones,5.1.6.9.2,VI.A.3.b,Counts Sequentially,,,,PK,
Developmental Milestones,5.1.6.9.3,VI.A.3.c,Demonstrates Understanding Through Counting Objects,,,,PK,
Developmental Milestones,5.1.6.9.4,VI.A.3.d,Count aloud forward in sequence by 1s to 20,,,,PK,
Standard,5.1.6.10,VI.A.4,Counts objects one per count 1-10,,,,PK,
Developmental Milestones,5.1.6.10.1,VI.A.4.a,Object Recognition and 1:1 correspondence up to 10.,,,,PK,
Developmental Milestones,5.1.6.10.2,VI.A.4.b,Sequential Number Identification,,,,PK,
Developmental Milestones,5.1.6.10.3,VI.A.4.c,One-to-One Correspondence,,,,PK,
Standard,5.2,MATH.2,Child recognizes the number of objects in a small set (subitizing),,,,,
Label,5.2.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.2.1.1,,"Explores objects by grasping and mouthing, noticing differences in size.",,,,,
Label,5.2.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.2.2.1,,"Stacks or nests objects, such as cups or blocks.",,,,,
Label,5.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.2.3.1,,Identifies “big” and “small” with prompts; begins to fill and empty containers.,,,,,
Label,5.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.2.4.1,,"Uses terms like “on,” “under,” and “in” to describe object placement.",,,,,
Label,5.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.2.5.1,MATH.2.a,Child can visually identify and name numbers 1-5 without counting.,,,,,
Developmental Milestones,5.2.5.2,MATH.2.b,Child can group objects into sets equating to a given small number without counting.,,,,,
Developmental Milestones,5.2.5.3,MATH.2.c,"Child can instantly recognize number patterns within 5 using arrays, dice patterns or fingers.",,,,,
Label,5.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.2.6.1,VI.B.3,Separates items up to 10 into equal groups,,,,PK,
Developmental Milestones,5.2.6.1.1,VI.B.3.a,'Recognizes and understands the concept of number equality',,,,PK,
Developmental Milestones,5.2.6.1.2,VI.B.3.b,'Identifies a collection of items up to 10 and can evenly distribute them',,,,PK,
Developmental Milestones,5.2.6.1.3,VI.B.3.c,'Demonstrates basic understanding of division by separating items into equal groups',,,,PK,
Standard,5.3,MATH.3,Child understands the relationship between numbers and quantities,,,,,
Label,5.3.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.3.1.1,,"Reacts to repetitive sounds or movements, such as clapping.",,,,,
Label,5.3.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.3.2.1,,"Imitates simple patterns in actions, such as banging two objects together.",,,,,
Label,5.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.3.3.1,,Matches similar objects or colors to form simple sequences.,,,,,
Label,5.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.3.4.1,,"Recognizes AB patterns (e.g., red-blue-red-blue).",,,,,
Label,5.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.3.5.1,MATH.3.b,Child can order quantities according to number sequence,,,,,
Developmental Milestones,5.3.5.2,MATH.3.c,Child can perform simple addition and subtraction with quantities,,,,,
Developmental Milestones,5.3.5.3,MATH.3.a,Child can match numbers with corresponding quantities,,,,,
Label,5.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.3.6.1,VI.A.7,Counts objects in any order,,,,PK,
Developmental Milestones,5.3.6.1.1,VI.A.7.a,Identification and Naming of Objects,,,,PK,
Developmental Milestones,5.3.6.1.2,VI.A.7.b,Understanding of Number Concepts,,,,PK,
Developmental Milestones,5.3.6.1.3,VI.A.7.c,Sequential Ordering and Counting,,,,PK,
Developmental Milestones,5.3.6.1.4,VI.A.7.d,Count up to 5 items in a scattered configuration; not in a row or column.,,,,PK,
Standard,5.3.6.2,VI.A.9,Connects numbers with quantities,,,,PK,
Developmental Milestones,5.3.6.2.1,VI.A.9.a,Recognizes and Identifies Numerals,,,,PK,
Developmental Milestones,5.3.6.2.2,VI.A.9.b,Counting and Matching Quantities,,,,PK,
Developmental Milestones,5.3.6.2.3,VI.A.9.c,Comparing and Contrasting Quantities,,,,PK,
Developmental Milestones,5.3.6.2.4,VI.A.9.d,Child represents quantities up to 10.,,,,PK,
Developmental Milestones,5.3.6.2.5,VI.A.9.e,Child begins to understand that numbers 0-10 can be composed and decomposed in various ways to represent a quantity.,,,,PK,
Standard,5.4,MATH.4,Child compares numbers,,,,,
Label,5.4.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.4.1.1,,"Explores objects by mouthing, grasping, or banging, noticing different weights or textures.",,,,,
Label,5.4.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.4.2.1,,Compares sizes by choosing larger or smaller objects.,,,,,
Label,5.4.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.4.3.1,,Sorts objects by size or weight with guidance.,,,,,
Label,5.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.4.4.1,,"Identifies objects as “big” or “small,” “heavy” or “light.”",,,,,
Label,5.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.4.5.1,MATH.4.a,Child identifies larger and smaller quantities.,,,,,
Developmental Milestones,5.4.5.2,MATH.4.c,Child can arrange numbers in ascending and descending order.,,,,,
Developmental Milestones,5.4.5.3,MATH.4.b,"Child understands and uses terms related to quantity comparison (more, less, equal).",,,,,
Label,5.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.4.6.1,VI.A.10,Compares quantities,,,,PK,
Developmental Milestones,5.4.6.1.1,VI.A.10.a,Identifying More or Less,,,,PK,
Developmental Milestones,5.4.6.1.2,VI.A.10.b,"Child compares sets of objects up to 10 using comparative language (e.g., greater/more than, less/fewer than, equal to/same number of).",,,,PK,
Developmental Milestones,5.4.6.1.3,VI.A.10.c,Estimation Skills,,,,PK,
Standard,5.5,MATH.5,Child associates a quantity with written numerals up to 5 and begins to write numbers,,,,,
Label,5.5.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.5.1.1,,"Notices different quantities (e.g., one toy versus many).",,,,,
Label,5.5.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.5.2.1,,"Groups objects during play, such as stacking blocks or sorting rings",,,,,
Label,5.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.5.3.1,,"Points to objects while attempting to count (e.g., “one, two”).",,,,,
Label,5.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.5.4.1,,"Begins recognizing numerals (e.g., points to the “3” when prompted).",,,,,
Label,5.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.5.5.1,MATH.5.a,Child recognizes and accurately counts objects up to five.,,,,,
Developmental Milestones,5.5.5.2,MATH.5.c,Child begins to practice writing numerals up to five correctly.,,,,,
Developmental Milestones,5.5.5.3,MATH.5.b,Child matches written numerals to their corresponding quantities up to five.,,,,,
Label,5.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.5.6.1,VI.B.1,Uses objects/pictures to add up to 5 objects,,,,PK,
Developmental Milestones,5.5.6.1.1,VI.B.1.a,Identifies and Counts Objects/Pictures,,,,PK,
Developmental Milestones,5.5.6.1.2,VI.B.1.b,Understands the Concept of Addition,,,,PK,
Developmental Milestones,5.5.6.1.3,VI.B.1.c,Applies Addition to Combine Objects/Pictures,,,,PK,
Standard,5.5.6.2,VI.B.2,Uses objects/pictures to subtract objects from set 0-5,,,,PK,
Developmental Milestones,5.5.6.2.1,VI.B.2.a,Applies subtraction using pictures/objects,,,,PK,
Standard,5.6,MATH.6,Child understands addition as adding to and understands subtraction as taking away from,,,,,
Label,5.6.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.6.1.1,,"Watches as objects are added or removed (e.g., during play).",,,,,
Label,5.6.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.6.2.1,,"Reacts to changes in quantities, such as surprise when objects disappear.",,,,,
Label,5.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.6.3.1,,Combines or separates small groups of objects with guidance.,,,,,
Label,5.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.6.4.1,,"Adds or removes items during play (e.g., “I’ll give you two blocks”).",,,,,
Label,5.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.6.5.1,MATH.6.a,"""Child can use objects to demonstrate addition as 'adding to' in practical scenarios.""",,,,,
Developmental Milestones,5.6.5.2,MATH.6.b,"""Child can apply the concept of 'taking away from' when solving simple subtraction problems.""",,,,,
Developmental Milestones,5.6.5.3,MATH.6.c,"""Child can differentiate between addition and subtraction and identify their appropriate use in real-life situations.""",,,,,
Label,5.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.6.6.1,VI.B.5,Knows counting sequence is constant,,,,PK,
Developmental Milestones,5.6.6.1.1,VI.B.5.a,'Understands that numbers follow a specific order',,,,PK,
Developmental Milestones,5.6.6.1.2,VI.B.5.b,'Recognizes the stability of the counting sequence',,,,PK,
Developmental Milestones,5.6.6.1.3,VI.B.5.c,'Applies consistent counting sequence in different contexts',,,,PK,
Standard,5.6.6.2,VI.B.4,Understands addition as putting together and adding to,,,,PK,
Developmental Milestones,5.6.6.2.1,VI.B.4.a,Ability to Identify Number Values,,,,PK,
Developmental Milestones,5.6.6.2.2,VI.B.4.b,Mathematical Manipulatives Understanding,,,,PK,
Developmental Milestones,5.6.6.2.3,VI.B.4.c,Application of Addition in Everyday Context,,,,PK,
Standard,5.7,MATH.7,Child understands simple patterns,,,,,
Label,5.7.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.7.1.1,,"Recognizes repetitive patterns in sounds, such as lullabies.",,,,,
Label,5.7.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.7.2.1,,"Responds to visual patterns, like stripes or checkers.",,,,,
Label,5.7.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.7.3.1,,"Matches objects to continue a simple pattern (e.g., toy-car-toy).",,,,,
Label,5.7.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.7.4.1,,"Recognizes and extends AB patterns (e.g., red-blue-red-blue).",,,,,
Label,5.7.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.7.5.1,MATH.7.a,"Child identifies and describes simple sequences of objects based on their characteristics (color, shape, size, etc.).",,,,,
Developmental Milestones,5.7.5.2,MATH.7.b,Child predicts what comes next in a simple pattern.,,,,,
Developmental Milestones,5.7.5.3,MATH.7.c,Child recreates or continues a simple pattern using physical objects or images.,,,,,
Label,5.7.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.7.6.1,VI.E.4,Recognizes patterns,,,,PK,
Developmental Milestones,5.7.6.1.1,VI.E.4.a,Identifies Simple Patterns,,,,PK,
Developmental Milestones,5.7.6.1.2,VI.E.4.b,Predicts Patterns,,,,PK,
Developmental Milestones,5.7.6.1.3,VI.E.4.c,Creates Patterns,,,,PK,
Standard,5.7.6.2,VI.E.5,Creates and extends patterns,,,,PK,
Developmental Milestones,5.7.6.2.1,VI.E.5.a,Duplicates Patterns,,,,PK,
Developmental Milestones,5.7.6.2.2,VI.E.5.b,Constructs Simple Patterns,,,,PK,
Developmental Milestones,5.7.6.2.3,VI.E.5.c,Expands Existing Patterns,,,,PK,
Standard,5.8,MATH.8,Child measures objects by their various attributes using standard and non-standard measurement; uses differences in attributes to make comparisons,,,,,
Label,5.8.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.8.1.1,,Explores objects of different sizes and weights by touching or mouthing.,,,,,
Label,5.8.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.8.2.1,,Begins stacking objects of similar size.,,,,,
Label,5.8.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.8.3.1,,Matches or lines up objects by size with support.,,,,,
Label,5.8.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.8.4.1,,"Uses hands or other items to compare object sizes (e.g., “This block is longer”).",,,,,
Label,5.8.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.8.5.1,MATH.8.a,Understanding of Measurement,,,,,
Developmental Milestones,5.8.5.2,MATH.8.b,Application of Measurement,,,,,
Developmental Milestones,5.8.5.3,MATH.8.c,Comparison and Differentiation,,,,,
Label,5.8.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.8.6.1,VI.D.1,Measures and compares lengths/heights,,,,PK,
Developmental Milestones,5.8.6.1.1,VI.D.1.a,Recognize and Understand Basic Units of Measurement,,,,PK,
Developmental Milestones,5.8.6.1.2,VI.D.1.b,Using Comparative Language,,,,PK,
Developmental Milestones,5.8.6.1.3,VI.D.1.c,Hands-on Measurement Activities,,,,PK,
Standard,5.8.6.2,VI.D.3,Uses time words,,,,PK,
Developmental Milestones,5.8.6.2.1,VI.D.3.a,Recognizes and Names Time Words,,,,PK,
Developmental Milestones,5.8.6.2.2,VI.D.3.b,Applies Time Words in Context,,,,PK,
Developmental Milestones,5.8.6.2.3,VI.D.3.c,Differentiates Between Time Words,,,,PK,
Standard,5.8.6.3,VI.D.2,Compares weights,,,,PK,
Developmental Milestones,5.8.6.3.1,VI.D.2.a,Identifies Heavier and Lighter Objects,,,,PK,
Developmental Milestones,5.8.6.3.2,VI.D.2.b,Uses Comparative Language,,,,PK,
Developmental Milestones,5.8.6.3.3,VI.D.2.c,Makes Predictions About Weights,,,,PK,
Standard,5.8.6.4,VI.D.4,Child recognizes and compares capacity based on how much space exists within an object.,,NEW,,PK,
Standard,5.9,MATH.9,"Child identifies, describes, compares, and composes shapes",,,,,
Label,5.9.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.9.1.1,,"Looks at and tracks simple shapes, such as circles or squares.",,,,,
Label,5.9.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.9.2.1,,Reaches for or plays with toys of distinct shapes.,,,,,
Label,5.9.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.9.3.1,,"Sorts objects by shape (e.g., circle blocks versus square blocks).",,,,,
Label,5.9.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.9.4.1,,Identifies and names common shapes like “circle” and “triangle.”,,,,,
Label,5.9.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.9.5.1,MATH.9.a,Recognizes differences in shapes,,,,,
Developmental Milestones,5.9.5.2,MATH.9.b,Can describe shapes with basic language,,,,,
Developmental Milestones,5.9.5.3,MATH.9.c,"Compare, compose and explore shapes",,,,,
Label,5.9.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.9.6.1,VI.C.1,Names common shapes,,,,PK,
Developmental Milestones,5.9.6.1.1,VI.C.1.a,Identifies Basic Geometric Shapes,,,,PK,
Developmental Milestones,5.9.6.1.2,VI.C.1.b,Distinguishes Among Shapes,,,,PK,
Developmental Milestones,5.9.6.1.3,VI.C.1.c,Names Shapes in Various Orientations and Sizes,,,,PK,
Standard,5.9.6.2,VI.C.2,Creates shapes,,,,PK,
Developmental Milestones,5.9.6.2.1,VI.C.2.a,Identifies Basic Shapes,,,,PK,
Developmental Milestones,5.9.6.2.2,VI.C.2.b,Draws Basic Shapes,,,,PK,
Developmental Milestones,5.9.6.2.3,VI.C.2.c,Child creates shapes using materials and/or manipulatives.,,,,PK,
Standard,5.9.6.3,VI.C.3,Compares shapes,,,,PK,
Developmental Milestones,5.9.6.3.1,VI.C.3.a,Identifies Basic Shapes,,,,PK,
Developmental Milestones,5.9.6.3.2,VI.C.3.b,Differentiates Between Shapes,,,,PK,
Developmental Milestones,5.9.6.3.3,VI.C.3.c,Categorizes Shapes,,,,PK,
Standard,5.9.6.4,VI.C.4,Identifies shape attributes,,,,PK,
Developmental Milestones,5.9.6.4.1,VI.C.4.a,Distinguishes between Geometric Shapes,,,,PK,
Developmental Milestones,5.9.6.4.2,VI.C.4.b,Recognition of Shape Attributes,,,,PK,
Developmental Milestones,5.9.6.4.3,VI.C.4.c,Application and description of shape attributes to Real-world Objects,,,,PK,
Standard,5.1,MATH.10,Child explores the positions of objects in space,,,,,
Label,5.10.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.10.1.1,,"Reaches for objects placed in different positions (e.g., above, beside, or in front).",,,,,
Label,5.10.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.10.2.1,,Searches for objects hidden under or behind others during play.,,,,,
Label,5.10.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.10.3.1,,"Places objects in specific positions during play, such as stacking blocks in order or aligning cars.",,,,,
Label,5.10.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.10.4.1,,Demonstrates understanding of positional words by correctly placing objects when instructed.,,,,,
Label,5.10.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.10.5.1,MATH.10.a,Child Identifies Relative Positions,,,,,
Developmental Milestones,5.10.5.2,MATH.10.b,Child Manipulates Objects,,,,,
Developmental Milestones,5.10.5.3,MATH.10.c,Child Understands Directionality,,,,,
Label,5.10.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.10.6.1,VI.C.5,Uses location words,,,,PK,
Developmental Milestones,5.10.6.1.1,VI.C.5.a,Identifies and Correctly Uses Basic Location Words,,,,PK,
Developmental Milestones,5.10.6.1.2,VI.C.5.b,Understands Directional Statements,,,,PK,
Developmental Milestones,5.10.6.1.3,VI.C.5.c,Describes Objects' Positions Relative to Other Objects,,,,PK,
Standard,5.10.6.2,VI.C.6,"Slides, flips, turns shapes",,,,PK,
Developmental Milestones,5.10.6.2.1,VI.C.6.a,Understanding and Identifying Geometric Movements,,,,PK,
Developmental Milestones,5.10.6.2.2,VI.C.6.b,Application of Geometric Movements,,,,PK,
Developmental Milestones,5.10.6.2.3,VI.C.6.c,Relating Movements to Real World Elements,,,,PK,
Standard,5.10.6.3,VI.C.7,Recognizes shapes in real world,,,,PK,
Developmental Milestones,5.10.6.3.1,VI.C.7.a,Identifies Basic Shapes,,,,PK,
Developmental Milestones,5.10.6.3.2,VI.C.7.b,Applies Shape Recognition,,,,PK,
Developmental Milestones,5.10.6.3.3,VI.C.7.c,Compares and Differentiates Shapes,,,,PK,
Cluster,5.11,SCI,Scientific Reasoning,,,,,
Standard,5.11.1,SCI.1,"Child observes and describes observable phenomena (objects, materials, organisms, and events)",,,,,
Label,5.11.1.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.11.1.1.1,,Reaches out to touch and explore objects with different textures.,,,,,
Label,5.11.1.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.11.1.2.1,,"Watches and tracks events, like a ball rolling or water flowing.",,,,,
Label,5.11.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.11.1.3.1,,"Describes basic features of objects, such as color or shape.",,,,,
Label,5.11.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.11.1.4.1,,Uses simple descriptive language to share observations.,,,,,
Label,5.11.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.11.1.5.1,SCI.1.a,Child Identifies and Classifies Observable Materials,,,,,
Developmental Milestones,5.11.1.5.2,SCI.1.b,Child Demonstrates Basic Observation Techniques with Organisms and Events,,,,,
Developmental Milestones,5.11.1.5.3,SCI.1.c,Child Expresses Thoughts and Findings Verbally or Through Art,,,,,
Label,5.11.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.11.1.6.1,VII.C.3,Observes changes in earth and sky,,,,PK,
Developmental Milestones,5.11.1.6.2,VII.C.3.b,Recognizing Day and Night Cycle,,,,PK,
Developmental Milestones,5.11.1.6.3,VII.C.3.c,Describes changes in the earth and sky.,,,,PK,
Developmental Milestones,5.11.1.6.4,VII.C.3.a,Identifying Different Weather Patterns,,,,PK,
Standard,5.11.1.6.5,VII.C.2,Identifies objects in day and night sky,,,,PK,
Developmental Milestones,5.11.1.6.5.1,VII.C.2.a,Differentiates between Day and Night,,,,PK,
Developmental Milestones,5.11.1.6.5.2,VII.C.2.b,Recognizes Celestial Objects,,,,PK,
Developmental Milestones,5.11.1.6.5.3,VII.C.2.c,Understands Sky Patterns,,,,PK,
Developmental Milestones,5.11.1.6.5.4,VII.C.2.d,"Child identifies, observes, describes, and discusses objects in the sky.",,,,PK,
Standard,5.11.1.6.6,VII.B.6,Explores five senses,,,,PK,
Developmental Milestones,5.11.1.6.6.1,VII.B.6.a,Identifies and Differentiates Between the Five Senses,,,,PK,
Developmental Milestones,5.11.1.6.6.2,VII.B.6.b,Experience Based Learning Through Senses,,,,PK,
Developmental Milestones,5.11.1.6.6.3,VII.B.6.c,Applies Knowledge of Five Senses to Real World,,,,PK,
