Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Standard,5.11.1.6.6,VII.B.6,Explores five senses,,,,PK,,"Uses their senses to touch, taste, listen, see, and smell new things."
Developmental Milestones,5.11.1.6.6.1,VII.B.6.a,Identifies and Differentiates Between the Five Senses,,,,PK,,"- Points to or names things they can see, hear, smell, taste, or touch."
Developmental Milestones,5.11.1.6.6.2,VII.B.6.b,Experience Based Learning Through Senses,,,,PK,,"- Explores the world by touching, tasting, and smelling objects."
Developmental Milestones,5.11.1.6.6.3,VII.B.6.c,Applies Knowledge of Five Senses to Real World,,,,PK,,Uses senses to explore and react to the world around them.
Standard,5.11.1.6.7,VII.A.1,Explores changes in matter,,,,PK,,Watches as ice melts into water.
Developmental Milestones,5.11.1.6.7.1,VII.A.1.a,Identifies Different States of Matter,,,,PK,,"- Points to and names water, ice, and steam during play."
Developmental Milestones,5.11.1.6.7.2,VII.A.1.b,Observes and Describes Changes,,,,PK,,Notices and talks about things that change.
Developmental Milestones,5.11.1.6.7.3,VII.A.1.c,Conducts Simple Experiments,,,,PK,,- Explores objects to see what happens when they are combined or used in different ways.
Standard,5.11.1.6.8,VI.F.1,Connects math to the real world,,,,PK,,Stacks blocks to build a tower and counts them.
Developmental Milestones,5.11.1.6.8.1,VI.F.1.a,Recognizes Real-World Math Concepts,,,,PK,,- Notices and points to shapes or patterns in their surroundings.
Developmental Milestones,5.11.1.6.8.2,VI.F.1.b,Applies Math in Practical Situations,,,,PK,,Uses simple counting during play.
Developmental Milestones,5.11.1.6.8.3,VI.F.1.c,Interprets Everyday Math Situations,,,,PK,,- Recognizes and uses numbers during play and daily routines.
Standard,5.11.1.6.9,VII.B.2,Recognizes plants/animals grow and change,,,,PK,,Notices when plants or animals look different.
Developmental Milestones,5.11.1.6.9.1,VII.B.2.a,Identifies Different Stages of Plant and Animal Life Cycle,,,,PK,,- Points to pictures of baby and adult animals or plants.
Developmental Milestones,5.11.1.6.9.2,VII.B.2.b,Understands Basic Differences in Growth Rates,,,,PK,,Notices when some friends are bigger or smaller than others.
Developmental Milestones,5.11.1.6.9.3,VII.B.2.c,Grasps the Cause and Effect Relationship in Growth and Change,,,,PK,,- Pushes a button to make a toy light up.
Standard,5.11.1.6.10,VII.D.6,Makes observations,,,,PK,,- Points to or reaches for objects to show curiosity.
Developmental Milestones,5.11.1.6.10.1,VII.D.6.a,"Demonstrates the ability to recognize and describe different objects, phenomena, or events in their environment.",,,,PK,,- Points to and names objects or events they see around them.
Developmental Milestones,5.11.1.6.10.2,VII.D.6.b,Shows proficiency in making comparisons and recognizing patterns or changes over time.,,,,PK,,- Notices and points out when things look the same or different.
Developmental Milestones,5.11.1.6.10.3,VII.D.6.c,Displays skills in recording or sharing observations verbally or through drawings or writings.,,,,PK,,- Points to or babbles about things they see or draws simple shapes to show what they notice.
Standard,5.11.2,SCI.2,Child engages in scientific talk,,,,,,"- Talks about what they see and do, like saying ""bubbles pop!"""
Label,5.11.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.11.2.1.1,,Makes sounds or gestures when interacting with new phenomena.,,,,,,- Babble or gesture when exploring something new.
Label,5.11.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.11.2.2.1,,Uses gestures or babbling to “comment” on objects of interest.,,,,,,Points or babbles to show interest in objects.
Label,5.11.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.11.2.3.1,,Participates in back-and-forth exchanges about observable phenomena.,,,,,,- Takes turns in simple back-and-forth conversations about things they see.
Label,5.11.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.11.2.4.1,,"Attempts to answer simple questions, such as “What is it doing?”",,,,,,- Points or gestures to answer simple questions like “What is it doing?”
Label,5.11.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.11.2.5.1,SCI.2.b,Child asks inquiry-based questions,,,,,,"- Asks ""why"" or ""how"" questions to learn more about their surroundings."
Developmental Milestones,5.11.2.5.2,SCI.2.a,Child uses appropriate and specific scientific vocabulary,,,,,,"Uses simple science words like ""big"" and ""small."""
Developmental Milestones,5.11.2.5.3,SCI.2.c,Child articulates observations and hypothesis,,,,,,- Points and talks about what they see and think.
Label,5.11.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.11.2.6.1,VII.D.1,Engages in scientific talk,,,,PK,,- Asks questions about things they see or touch.
Developmental Milestones,5.11.2.6.1.1,VII.D.1.a,Utilizes Scientific Vocabulary,,,,PK,,- Uses simple words to talk about what they see and do.
Developmental Milestones,5.11.2.6.1.2,VII.D.1.b,Asks and Answers Scientific Questions,,,,PK,,- Points and babbles about objects to explore and understand their surroundings.
Developmental Milestones,5.11.2.6.1.3,VII.D.1.c,Interpret Observations Verbally,,,,PK,,- Says what they see.
Standard,5.11.2.6.2,VII.C.6,Notices effects of weather/seasons on daily life,,,,PK,,- Points to or talks about changes in clothing or activities when the weather changes.
Developmental Milestones,5.11.2.6.2.1,VII.C.6.a,Identifying Different Weather Conditions,,,,PK,,"- Points to the sky and names ""sunny"" or ""rainy"" when asked about the weather."
Developmental Milestones,5.11.2.6.2.2,VII.C.6.b,Understanding Seasonal Changes,,,,PK,,"- Notices and talks about changes in the weather, like leaves falling or snow."
Developmental Milestones,5.11.2.6.2.3,VII.C.6.c,Aligning Clothing to Weather/Seasonal Changes,,,,PK,,Wears a hat when it's sunny or a coat when it's cold.
Standard,5.11.2.6.3,VII.C.5,Notices and describes changes in weather/seasons,,,,PK,,"- Points to or reacts to changes in the weather, like rain or sunshine."
Developmental Milestones,5.11.2.6.3.1,VII.C.5.a,Identifying Different Weather Conditions,,,,PK,,"- Points to or names rain, sun, or clouds when looking outside."
Developmental Milestones,5.11.2.6.3.2,VII.C.5.b,Recognizing Seasonal Changes,,,,PK,,"- Notices changes in the weather, like when it gets colder or leaves change color."
Developmental Milestones,5.11.2.6.3.3,VII.C.5.c,Expressive Language for Weather/Seasonal Descriptions,,,,PK,,"- Says words about the weather, like ""rain"" or ""sunny."""
Standard,5.11.2.6.4,VII.C.4,Demonstrates environmental awareness,,,,PK,,- Notices and responds to sounds and movements around them.
Developmental Milestones,5.11.2.6.4.1,VII.C.4.a,Recognizes and lists common elements in their environment,,,,PK,,- Points to and names familiar objects around them.
Developmental Milestones,5.11.2.6.4.2,VII.C.4.b,Demonstrates understanding of the importance of conservation,,,,PK,,Stacks and unstacks blocks to explore how things stay the same.
Developmental Milestones,5.11.2.6.4.3,VII.C.4.c,Connects actions to environmental consequences,,,,PK,,Pushes a button to make a toy light up.
Standard,5.11.2.6.5,VII.C.7,Describes temperature,,,,PK,,"- Says ""hot"" or ""cold"" when touching objects."
Developmental Milestones,5.11.2.6.5.1,VII.C.7.a,Ability to Sense Temperature,,,,PK,,- Notices when something is hot or cold by touching it.
Developmental Milestones,5.11.2.6.5.2,VII.C.7.b,Understanding Relative Temperature,,,,PK,,- Notices when things feel hot or cold.
Developmental Milestones,5.11.2.6.5.3,VII.C.7.c,Verbal Expression of Temperature Concepts,,,,PK,,"- Says words like ""hot"" or ""cold"" to describe how things feel."
Standard,5.11.3,SCI.3,Child compares and categorizes observable phenomena,,,,,,Sorts objects by color or size.
Label,5.11.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.11.3.1.1,,"Explores objects through touch and mouthing, noticing variations.",,,,,,- Touches and mouths objects to feel different textures.
Label,5.11.3.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.11.3.2.1,,Recognizes and points out differences between objects or materials.,,,,,,- Points to and names differences between toys or objects.
Label,5.11.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.11.3.3.1,,"Uses basic words to compare phenomena (e.g., “big,” “small”).",,,,,,"- Says ""big"" and ""small"" to describe things."
Label,5.11.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.11.3.4.1,,"Compares objects using descriptive language (e.g., “This is bigger”).",,,,,,"- Says words like ""big"" or ""small"" to describe objects."
Label,5.11.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.11.3.5.1,SCI.3.b,"The child is able to differentiate between various objects and phenomena based on their observable characteristics such as size, color, shape, and texture. This skill builds the foundation for making comparisons and distinctions between different phenomena.",,,,,,"- Notices and sorts objects by size, color, shape, or texture."
Developmental Milestones,5.11.3.5.2,SCI.3.a,"Child sorts objects based on various criteria,",,,,,,- Groups toys by color or shape.
Developmental Milestones,5.11.3.5.3,SCI.3.c,"The child develops the ability to group similar objects and phenomena together based on their common features. They can sort objects into categories, such as animals and plants, or round and square objects.",,,,,,- Sorts objects into groups like animals and plants or shapes like circles and squares.
Developmental Milestones,5.11.3.5.4,SCI.3.d,The child starts to analyze and reason out the differences and similarities of objects and phenomena through keen observation.,,,,,,- Notices and points out how things are alike or different.
Label,5.11.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.11.3.6.1,VII.B.3,Explores and categorizes living things,,,,PK,,- Looks at and sorts animals and plants.
Developmental Milestones,5.11.3.6.1.1,VII.B.3.a,Identifies Basic Characteristics of Living Things,,,,PK,,Points to and names animals or plants.
Developmental Milestones,5.11.3.6.1.2,VII.B.3.b,Groups Living Things Based on Similarities,,,,PK,,- Sorts animals or plants into groups that look alike.
Developmental Milestones,5.11.3.6.1.3,VII.B.3.c,Interacts with Living Things in Their Environment,,,,PK,,*Touches and watches animals or plants with curiosity.*
Developmental Milestones,5.11.3.6.1.4,VII.B.3.d,"Child observes, investigates, describes, and discusses the characteristics of organisms.",,,,PK,,- Looks at and talks about what animals and plants look like.
Standard,5.11.3.6.2,VII.B.1,Distinguishes between living and nonliving,,,,PK,,- Points to or names animals and plants as living things.
Developmental Milestones,5.11.3.6.2.1,VII.B.1.a,Identification of Characteristics,,,,PK,,Notice and point out different features of objects.
Developmental Milestones,5.11.3.6.2.2,VII.B.1.b,Categorization Skills,,,,PK,,- Sorts toys by color or shape.
Developmental Milestones,5.11.3.6.2.3,VII.B.1.c,Understanding of Lifecycles,,,,PK,,"- Notices and shows interest in changes in plants or animals, like a caterpillar turning into a butterfly."
Standard,5.11.4,SCI.4,"Child asks a question, gathers information, and makes predictions",,,,,,"- Points to something and asks, ""What is that?"" then guesses what might happen next."
Label,5.11.4.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.11.4.1.1,,Reacts to changes or novel stimuli by turning head or vocalizing.,,,,,,- Turns head or makes sounds when noticing something new.
Label,5.11.4.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.11.4.2.1,,Explores objects actively to learn more about them.,,,,,,- Touches and looks at new things to learn about them.
Label,5.11.4.3,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.11.4.3.1,,Looks for familiar objects or phenomena during exploration.,,,,,,- Searches for favorite toys while playing.
Label,5.11.4.4,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.11.4.4.1,,Gathers information by observing or interacting with phenomena.,,,,,,- Watches or explores objects and people to learn about them.
Label,5.11.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.11.4.5.1,SCI.4.a,Can formulate qQuestions,,,,,,- Asks simple questions.
Developmental Milestones,5.11.4.5.2,SCI.4.b,Understands the concept of gathering information to be analyzed later.,,,,,,Collects objects or toys to explore and play with later.
Developmental Milestones,5.11.4.5.3,SCI.4.c,Can use the beginnings of predictive reasoning.,,,,,,- Anticipates what will happen next in familiar routines.
Label,5.11.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.11.4.6.1,VII.D.3,Compares and categorizes,,,,PK,,Sorts toys by color or shape.
Developmental Milestones,5.11.4.6.1.1,VII.D.3.a,Identifies Similarities and Differences between objects in the natural world.,,,,PK,,- Notices when two objects look the same or different.
Developmental Milestones,5.11.4.6.1.2,VII.D.3.b,Grouping and Sorting,,,,PK,,- Sorts toys by color or shape.
Developmental Milestones,5.11.4.6.1.3,VII.D.3.c,Classifying Objects,,,,PK,,Sorts toys by shape or color.
Standard,5.11.4.6.2,VII.D.2,Uses simple tools for investigating and to make work easier,,,,PK,,"Uses simple tools, like a spoon or shovel, to explore and play."
Developmental Milestones,5.11.4.6.2.1,VII.D.2.a,"Demonstrates proficiency in using basic investigation tools, such as magnifying glasses, rulers or simple software.",,,,PK,,Uses tools like magnifying glasses and rulers to explore objects.
Developmental Milestones,5.11.4.6.2.2,VII.D.2.b,"Showcases ability to select and utilize appropriate tools to simplify tasks, such as child-safe scissors for cutting or multi-colored markers for organizing information.",,,,PK,,Uses tools like child-safe scissors to cut paper or colored markers to draw.
Developmental Milestones,5.11.4.6.2.3,VII.D.2.c,"Exhibits understanding of the concept of tools as aid in different activities, both computer-based and hands-on, like puzzles, interactive games, and basic crafting materials.",,,,PK,,"- Uses tools, like blocks or simple puzzles, to play and solve problems."
Standard,5.11.4.6.3,VI.E.2,Collects and organizes data,,,,PK,,Sorts and groups objects by size or color.
Developmental Milestones,5.11.4.6.3.1,VI.E.2.a,Identifying Data,,,,PK,,Points to familiar objects or people when named.
Developmental Milestones,5.11.4.6.3.2,VI.E.2.b,Data Collection,,,,PK,,Stacks blocks to see how tall they can build.
Developmental Milestones,5.11.4.6.3.3,VI.E.2.c,Data Representation,,,,PK,,- Points to pictures or objects to show what they want or like.
Standard,5.11.4.6.4,VII.D.4,Gathers information and makes predictions,,,,PK,,- Explores objects and anticipates what might happen next.
Developmental Milestones,5.11.4.6.4.1,VII.D.4.a,Information Collection,,,,PK,,Gathers and explores new objects to learn about them.
Developmental Milestones,5.11.4.6.4.2,VII.D.4.b,Critical Analysis,,,,PK,,- Looks closely at objects and tries to figure them out.
Developmental Milestones,5.11.4.6.4.3,VII.D.4.c,Prediction Making,,,,PK,,- **Anticipates what will happen next during familiar routines.**
Standard,5.11.5,SCI.5,Child plans and conducts investigations and experiments,,,,,,- Explores and tests objects by trying different actions to see what happens.
Label,5.11.5.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.11.5.1.1,,Reaches for or explores objects with curiosity.,,,,,,- Grabs and explores objects with curiosity.
Label,5.11.5.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.11.5.2.1,,"Experiments with actions, such as dropping objects to see what happens.",,,,,,Drops objects to see what happens.
Label,5.11.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.11.5.3.1,,"Participates in guided exploration, like mixing colors or textures",,,,,,- Mixes colors or textures with guidance.
Label,5.11.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.11.5.4.1,,"Completes simple experiments, like pouring water to observe movement",,,,,,- Pours water to watch how it moves.
Label,5.11.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.11.5.5.1,SCI.5.a,Child formulates hypotheses or predictions',,,,,,- Child guesses what might happen next.
Developmental Milestones,5.11.5.5.2,SCI.5.b,Child gathers and uses data',,,,,,- Explores and plays with different objects to learn new things.
Developmental Milestones,5.11.5.5.3,SCI.5.c,Child analyzes results and makes conclusions',,,,,,- Explores objects and notices what happens when they interact with them.
Developmental Milestones,5.11.5.5.4,SCI.5.d,Acquire scientific knowledge related to life science (properties of living things).,,,,,,- Notices and names different animals and plants.
Developmental Milestones,5.11.5.5.5,SCI.5.e,Acquire scientific knowledge related to earth science (properties of the earth and objects in the sky).,,,,,,- Look at the sky and point to the moon or stars.
Label,5.11.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.11.5.6.1,VII.C.1,Investigates earth materials,,,,PK,,- Explores rocks and dirt with hands.
Developmental Milestones,5.11.5.6.1.1,VII.C.1.a,Identifies Characteristics of Various Earth Materials,,,,PK,,- Points to and names different types of rocks and soil.
Developmental Milestones,5.11.5.6.1.2,VII.C.1.b,Explores Properties of Earth Materials,,,,PK,,"- Plays with and examines rocks, dirt, and sand."
Developmental Milestones,5.11.5.6.1.3,VII.C.1.c,Understands Uses of Earth Materials,,,,PK,,Plays with sand and pebbles to explore their different textures.
Developmental Milestones,5.11.5.6.1.4,VII.C.1.d,Engage in play to explore the physical and natural world.,,,,PK,,- Play with objects and nature to learn about the world around them.
Standard,5.11.5.6.2,VII.B.5,Investigates relationship between living things/environment,,,,PK,,*Explores how plants and animals interact with their surroundings.*
Developmental Milestones,5.11.5.6.2.1,VII.B.5.a,Identification of Living Organisms,,,,PK,,- Points to or names animals and plants they see.
Developmental Milestones,5.11.5.6.2.2,VII.B.5.b,Understanding Ecosystem Interactions,,,,PK,,Notices and explores how plants and animals interact in their surroundings.
Developmental Milestones,5.11.5.6.2.3,VII.B.5.c,Exploration of Environmental Effects,,,,PK,,"- ""Touches and explores objects to see what happens."""
Standard,5.11.5.6.3,VII.A.5,Investigates sources of energy,,,,PK,,Explores how things move or light up.
Developmental Milestones,5.11.5.6.3.1,VII.A.5.a,Identifying Different Types of Energy,,,,PK,,"- **Recognizes different sources of energy, like light and sound.**"
Developmental Milestones,5.11.5.6.3.2,VII.A.5.b,Understanding the Uses of Energy,,,,PK,,Explore and experiment with different ways to move objects.
Developmental Milestones,5.11.5.6.3.3,VII.A.5.c,Basic Knowledge of Energy Conservation,,,,PK,,Turns off the light when leaving a room.
Standard,5.11.5.6.4,VII.A.2,Investigates properties of materials,,,,PK,,- Touches and squeezes objects to see what they feel like.
Developmental Milestones,5.11.5.6.4.1,VII.A.2.a,Identifies and Differentiates Materials,,,,PK,,Sorts and picks out different materials by touch or look.
Developmental Milestones,5.11.5.6.4.2,VII.A.2.b,Engages in Experimentation,,,,PK,,- Tries new things to see what happens.
Developmental Milestones,5.11.5.6.4.3,VII.A.2.c,Describes Material Properties,,,,PK,,Touches and talks about how things feel.
Standard,5.11.5.6.5,VII.B.4,Investigates life cycles,,,,PK,,- Watches a butterfly change from a caterpillar.
Developmental Milestones,5.11.5.6.5.1,VII.B.4.a,Recognizes the Stages of Life Cycles,,,,PK,,Notices changes in plants and animals.
Developmental Milestones,5.11.5.6.5.2,VII.B.4.b,Tracks Life Cycle Progressions,,,,PK,,- Follows the growth of a plant from seed to sprout.
Developmental Milestones,5.11.5.6.5.3,VII.B.4.c,Compares Different Life Cycles,,,,PK,,- Notices and points out changes in plants or animals over time.
Developmental Milestones,5.11.5.6.5.4,VII.B.4.d,"Child observes, describes, and discusses the life cycles of organisms.",,,,PK,,- Watches and talks about how animals grow and change.
Standard,5.11.5.6.6,VI.F.3,Uses mathematical strategies to solve problems,,,,PK,,- Stacks blocks to figure out how tall a tower can be.
Developmental Milestones,5.11.5.6.6.1,VI.F.3.a,Recognizes and Applies Basic Number Concepts,,,,PK,,Counts small groups of toys during play.
Developmental Milestones,5.11.5.6.6.2,VI.F.3.b,Identifies Geometric Shapes and Spatial Relations,,,,PK,,- Points to and names basic shapes like circles and squares.
Developmental Milestones,5.11.5.6.6.3,VI.F.3.c,Utilizes Logical Thinking and Reasoning,,,,PK,,- Sorts objects by color or shape.
Standard,5.11.5.6.7,VII.A.3,Investigates position and motion of objects,,,,PK,,Moves and explores objects to see how they change position.
Developmental Milestones,5.11.5.6.7.1,VII.A.3.a,Understanding Basic Concepts of Position,,,,PK,,"- Points to or places objects when asked, like ""on"" or ""under."""
Developmental Milestones,5.11.5.6.7.2,VII.A.3.b,Recognizing Changes in Motion,,,,PK,,- Notices when a toy or object moves differently.
Developmental Milestones,5.11.5.6.7.3,VII.A.3.c,Experimenting with Object Manipulation,,,,PK,,- Plays by picking up and exploring different objects.
Standard,5.11.5.6.8,VII.D.5,Plans and conducts experiments,,,,PK,,"- Explores objects to see what happens when they shake, drop, or stack them."
Developmental Milestones,5.11.5.6.8.1,VII.D.5.a,Identifies Hypotheses,,,,PK,,- Plays and explores to figure out how things work.
Developmental Milestones,5.11.5.6.8.2,VII.D.5.b,Implements Procedures,,,,PK,,Follows simple routines.
Developmental Milestones,5.11.5.6.8.3,VII.D.5.c,Analyzes and Records Results,,,,PK,,Sorts and stacks blocks by color or shape.
Standard,5.11.6,SCI.6,"Child analyzes results, draws conclusions, and communicates results",,,,,,- Points to or vocalizes about what happened after trying something new.
Label,5.11.6.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.11.6.1.1,,Shows interest in changes in objects or surroundings.,,,,,,Watches or reaches for new toys or objects around them.
Label,5.11.6.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.11.6.2.1,,Explores cause and effect through repeated actions.,,,,,,- Pushes a button to see what happens.
Label,5.11.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.11.6.3.1,,"Shows simple understanding of results (e.g., “It fell down”).",,,,,,"- Says ""It fell!"" when a toy drops."
Label,5.11.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.11.6.4.1,,Describes what happened after completing an experiment or activity.,,,,,,- Talks about what they did after playing or exploring.
Label,5.11.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.11.6.5.1,SCI.6.c,Expressive Communication,,,,,,"Uses sounds, gestures, or simple words to share needs and feelings."
Developmental Milestones,5.11.6.5.2,SCI.6.b,Student uses critical thinking to analyze and interpret investigations.,,,,,,- Explores new objects and tries different ways to use them.
Developmental Milestones,5.11.6.5.3,SCI.6.a,Data Interpreting,,,,,,- Points to or shows interest in pictures or objects when named.
Label,5.11.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.11.6.6.1,VI.E.3,Understands graphs,,,,PK,,- Points to or talks about pictures and objects in a simple chart.
Developmental Milestones,5.11.6.6.1.1,VI.E.3.a,Identifies Different Types of Graphs,,,,PK,,- Points to pictures and says the names of things they see.
Developmental Milestones,5.11.6.6.1.2,VI.E.3.b,Interprets Graph Data,,,,PK,,- Points to or touches simple pictures to show understanding.
Developmental Milestones,5.11.6.6.1.3,VI.E.3.c,Constructs Basic Graphs,,,,PK,,- Sorts and lines up blocks by color or size.
Standard,5.11.6.6.2,VI.F.2,Communicates using mathematical language,,,,PK,,"- Uses number words like ""more"" or ""all gone"" during play."
Developmental Milestones,5.11.6.6.2.1,VI.F.2.a,'Recognizes and uses basic mathematical terminology',,,,PK,,"- Says words like ""big"" and ""small"" during play."
Developmental Milestones,5.11.6.6.2.2,VI.F.2.b,'Applies mathematical concepts in daily situations',,,,PK,,- **Sorts toys by color or size during play.**
Developmental Milestones,5.11.6.6.2.3,VI.F.2.c,'Expresses mathematical reasoning verbally',,,,PK,,- Says numbers or counts out loud during play.
Standard,5.11.6.6.3,VII.D.7,Analyzes results and draws conclusions,,,,PK,,Notices patterns and sorts objects by color or shape.
Developmental Milestones,5.11.6.6.3.1,VII.D.7.a,Interprets Data,,,,PK,,- Sorts objects by size or color.
Developmental Milestones,5.11.6.6.3.2,VII.D.7.b,Logically Reasoning,,,,PK,,- Uses simple reasoning to solve everyday problems.
Developmental Milestones,5.11.6.6.3.3,VII.D.7.c,Formulates Conclusions,,,,PK,,- **Shows understanding by sorting toys into groups based on color or shape.**
Standard,5.11.6.6.4,VII.D.8,Uses engineering and process skills to solve problems,,,,PK,,- Builds and adjusts block towers to fit together.
Developmental Milestones,5.11.6.6.4.1,VII.D.8.a,Applying problem-solving methods,,,,PK,,- Tries different ways to reach a toy.
Developmental Milestones,5.11.6.6.4.2,VII.D.8.b,Utilizing basic engineering principles,,,,PK,,- Builds simple structures using blocks or other materials.
Developmental Milestones,5.11.6.6.4.3,VII.D.8.c,Following sequential processes,,,,PK,,- Builds a block tower by stacking one block after another.
Cluster,5.12,FS,Forerunner Skills,,,,,,
Standard,5.12.1,FS-1,Child demonstrates classification,,,,,,Groups toys by color or shape.
Label,5.12.1.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.12.1.1.1,,"Notices differences in textures, colors, or sizes of objects.",,,,,,"- Touches and explores different textures, colors, or sizes of objects."
Label,5.12.1.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.12.1.2.1,,"Recognizes and selects similar items during play (e.g., stacking all yellow rings).",,,,,,"- Matches and picks out similar items, like putting all the yellow rings together."
Label,5.12.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.12.1.3.1,,"Matches simple objects, like socks or blocks, by similarity.",,,,,,"- Pairs similar objects, like socks or blocks."
Label,5.12.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.12.1.4.1,,"Sorts objects by two attributes, like size and color.",,,,,,- Groups toys by both color and size.
Label,5.12.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.12.1.5.1,FS-1.a,"Child can distinguish between different categories (i.e., color, size, shape).",,,,,,"- Sorts toys by color, size, or shape."
Developmental Milestones,5.12.1.5.2,FS-1.b,Child can group objects or pictures based on shared characteristics.,,,,,,- Sorts toys or pictures by color or shape.
Developmental Milestones,5.12.1.5.3,FS-1.c,Child can explain why they have grouped items in a particular way.,,,,,,- Sorts items into groups and shows them to others.
Label,5.12.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.12.1.6.1,VII.A.4,Measures objects,,,,PK,,Stacks blocks to see which is taller.
Developmental Milestones,5.12.1.6.1.1,VII.A.4.a,Identifies and Compares Object Sizes,,,,PK,,Points to and sorts objects by size.
Developmental Milestones,5.12.1.6.1.2,VII.A.4.b,Understanding Measurement Units,,,,PK,,Stacks blocks to compare height.
Developmental Milestones,5.12.1.6.1.3,VII.A.4.c,Applying Measurement in Practical Situations,,,,PK,,- Stacks blocks to compare their heights.
Standard,5.12.1.6.2,VI.E.1,Sorts and describes objects,,,,PK,,Stacks and talks about different toys.
Developmental Milestones,5.12.1.6.2.1,VI.E.1.a,Categorization Skills,,,,PK,,- Sorts toys by color or shape.
Developmental Milestones,5.12.1.6.2.2,VI.E.1.b,Descriptive Language Abilities,,,,PK,,- Uses simple words to describe objects or actions.
Developmental Milestones,5.12.1.6.2.3,VI.E.1.c,Observational Skills,,,,PK,,- Looks closely at objects and people around them.
Developmental Milestones,5.12.1.6.2.4,VI.E.1.d,Sort and group up to 5 objects into a set based upon characteristics such as color size and shape and explain verbally what the objects have in common.,,,,PK,,- Sorts toys by color or shape.
Standard,5.12.2,FS-2,Child creates equal and unequal sets,,,,,,Puts toys in two groups: one with the same number and one with different numbers.
Label,5.12.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.12.2.1.1,,"Notices changes in quantity, such as more or fewer toys.",,,,,,Points to or reacts when there are more or fewer toys.
Label,5.12.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.12.2.2.1,,"Pairs similar items (e.g., matching a spoon with a bowl).",,,,,,Matches items like putting a spoon with a bowl.
Label,5.12.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.12.2.3.1,,Recognizes when two groups differ in quantity.,,,,,,- Notices when one group has more or fewer items than another.
Label,5.12.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.12.2.4.1,,"Creates equal or unequal sets intentionally (e.g., “I have more cars than trucks!”).",,,,,,- Points to or says when they have more of one item than another.
