Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Standard,5.11.1.6.9,VII.B.2,Recognizes plants/animals grow and change,,,,PK,, Notices when plants or animals look different over time.
Developmental Milestones,5.11.1.6.9.1,VII.B.2.a,Identifies Different Stages of Plant and Animal Life Cycle,,,,PK,," Points to or names different stages of plant or animal life, like seeds or baby animals."
Developmental Milestones,5.11.1.6.9.2,VII.B.2.b,Understands Basic Differences in Growth Rates,,,,PK,,Notices when some things grow faster than others.
Developmental Milestones,5.11.1.6.9.3,VII.B.2.c,Grasps the Cause and Effect Relationship in Growth and Change,,,,PK,, Pushes a button to make a toy light up.
Standard,5.11.1.6.10,VII.D.6,Makes observations,,,,PK,, Points to or Looks closely at new things.
Developmental Milestones,5.11.1.6.10.1,VII.D.6.a,"Demonstrates the ability to recognize and describe different objects, phenomena, or events in their environment.",,,,PK,, Points to or names objects or events they notice around them.
Developmental Milestones,5.11.1.6.10.2,VII.D.6.b,Shows proficiency in making comparisons and recognizing patterns or changes over time.,,,,PK,, Notices and Points out differences or patterns in toys or objects.
Developmental Milestones,5.11.1.6.10.3,VII.D.6.c,Displays skills in recording or sharing observations verbally or through drawings or writings.,,,,PK,, Draws or talks about what they see around them.
Standard,5.11.2,SCI.2,Child engages in scientific talk,,,,,,
Label,5.11.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.11.2.1.1,,Makes sounds or gestures when interacting with new phenomena.,,,,,,
Label,5.11.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.11.2.2.1,,Uses gestures or babbling to “comment” on objects of interest.,,,,,,
Label,5.11.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.11.2.3.1,,Participates in back-and-forth exchanges about observable phenomena.,,,,,,
Label,5.11.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.11.2.4.1,,"Attempts to answer simple questions, such as “What is it doing?”",,,,,,
Label,5.11.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.11.2.5.1,SCI.2.b,Child asks inquiry-based questions,,,,,,
Developmental Milestones,5.11.2.5.2,SCI.2.a,Child uses appropriate and specific scientific vocabulary,,,,,,
Developmental Milestones,5.11.2.5.3,SCI.2.c,Child articulates observations and hypothesis,,,,,,
Label,5.11.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.11.2.6.1,VII.D.1,Engages in scientific talk,,,,PK,, asks questions about things they see and touch.
Developmental Milestones,5.11.2.6.1.1,VII.D.1.a,Utilizes Scientific Vocabulary,,,,PK,,Uses simple words to talk about nature and how things work.
Developmental Milestones,5.11.2.6.1.2,VII.D.1.b,Asks and Answers Scientific Questions,,,,PK,, Points to objects and Uses simple words to explore and ask about them.
Developmental Milestones,5.11.2.6.1.3,VII.D.1.c,Interpret Observations Verbally,,,,PK,, Uses words to describe what they see.
Standard,5.11.2.6.2,VII.C.6,Notices effects of weather/seasons on daily life,,,,PK,, Points to or comments on Changes in clothing or activities due to weather.
Developmental Milestones,5.11.2.6.2.1,VII.C.6.a,Identifying Different Weather Conditions,,,,PK,, Points to the sky and names rain or sun.
Developmental Milestones,5.11.2.6.2.2,VII.C.6.b,Understanding Seasonal Changes,,,,PK,," Notices and talks about Changes in the weather, like when it gets colder or leaves change color."
Developmental Milestones,5.11.2.6.2.3,VII.C.6.c,Aligning Clothing to Weather/Seasonal Changes,,,,PK,, Picks clothes that match the weather outside.
Standard,5.11.2.6.3,VII.C.5,Notices and describes changes in weather/seasons,,,,PK,,"- Points to the sky and says, ""Rain!"" when noticing changes in weather."
Developmental Milestones,5.11.2.6.3.1,VII.C.5.a,Identifying Different Weather Conditions,,,,PK,, Points to the sky and names rain or sun.
Developmental Milestones,5.11.2.6.3.2,VII.C.5.b,Recognizing Seasonal Changes,,,,PK,, Notices when the weather gets warmer or colder.
Developmental Milestones,5.11.2.6.3.3,VII.C.5.c,Expressive Language for Weather/Seasonal Descriptions,,,,PK,,"- Names simple weather conditions like ""sunny"" or ""rainy."""
Standard,5.11.2.6.4,VII.C.4,Demonstrates environmental awareness,,,,PK,,Looks around and notices new things in the room.
Developmental Milestones,5.11.2.6.4.1,VII.C.4.a,Recognizes and lists common elements in their environment,,,,PK,,Points to and names familiar objects around them.
Developmental Milestones,5.11.2.6.4.2,VII.C.4.b,Demonstrates understanding of the importance of conservation,,,,PK,,Stacks and unstacks blocks to see which group has more.
Developmental Milestones,5.11.2.6.4.3,VII.C.4.c,Connects actions to environmental consequences,,,,PK,," Notices when their actions cause Changes, like when knocking over a block tower."
Standard,5.11.2.6.5,VII.C.7,Describes temperature,,,,PK,,"- Says ""hot"" or ""cold"" when touching things."
Developmental Milestones,5.11.2.6.5.1,VII.C.7.a,Ability to Sense Temperature,,,,PK,," Notices and reacts to Changes in temperature, like feeling warm or cool."
Developmental Milestones,5.11.2.6.5.2,VII.C.7.b,Understanding Relative Temperature,,,,PK,, Notices when something is hot or cold.
Developmental Milestones,5.11.2.6.5.3,VII.C.7.c,Verbal Expression of Temperature Concepts,,,,PK,,"- Uses words like ""hot"" or ""cold"" to describe how things feel."
Standard,5.11.3,SCI.3,Child compares and categorizes observable phenomena,,,,,,
Label,5.11.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.11.3.1.1,,"Explores objects through touch and mouthing, noticing variations.",,,,,,
Label,5.11.3.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.11.3.2.1,,Recognizes and points out differences between objects or materials.,,,,,,
Label,5.11.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.11.3.3.1,,"Uses basic words to compare phenomena (e.g., “big,” “small”).",,,,,,
Label,5.11.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.11.3.4.1,,"Compares objects using descriptive language (e.g., “This is bigger”).",,,,,,
Label,5.11.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.11.3.5.1,SCI.3.b,"The child is able to differentiate between various objects and phenomena based on their observable characteristics such as size, color, shape, and texture. This skill builds the foundation for making comparisons and distinctions between different phenomena.",,,,,,
Developmental Milestones,5.11.3.5.2,SCI.3.a,"Child sorts objects based on various criteria,",,,,,,
Developmental Milestones,5.11.3.5.3,SCI.3.c,"The child develops the ability to group similar objects and phenomena together based on their common features. They can sort objects into categories, such as animals and plants, or round and square objects.",,,,,,
Developmental Milestones,5.11.3.5.4,SCI.3.d,The child starts to analyze and reason out the differences and similarities of objects and phenomena through keen observation.,,,,,,
Label,5.11.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.11.3.6.1,VII.B.3,Explores and categorizes living things,,,,PK,,Sorts and plays with animals and plants.
Developmental Milestones,5.11.3.6.1.1,VII.B.3.a,Identifies Basic Characteristics of Living Things,,,,PK,,Points to plants or animals and names them.
Developmental Milestones,5.11.3.6.1.2,VII.B.3.b,Groups Living Things Based on Similarities,,,,PK,, Sorts animals or plants that look alike.
Developmental Milestones,5.11.3.6.1.3,VII.B.3.c,Interacts with Living Things in Their Environment,,,,PK,, Watches and Reaches for animals and plants nearby.
Developmental Milestones,5.11.3.6.1.4,VII.B.3.d,"Child observes, investigates, describes, and discusses the characteristics of organisms.",,,,PK,, Notices and talks about different animals and plants.
Standard,5.11.3.6.2,VII.B.1,Distinguishes between living and nonliving,,,,PK,,"- Points to or names animals and plants as ""alive"" and toys or rocks as ""not alive."""
Developmental Milestones,5.11.3.6.2.1,VII.B.1.a,Identification of Characteristics,,,,PK,,Recognizes and points to familiar objects or people.
Developmental Milestones,5.11.3.6.2.2,VII.B.1.b,Categorization Skills,,,,PK,, Sorts toys by color or shape.
Developmental Milestones,5.11.3.6.2.3,VII.B.1.c,Understanding of Lifecycles,,,,PK,, Watches and Notices Changes in plants or animals over time.
Standard,5.11.4,SCI.4,"Child asks a question, gathers information, and makes predictions",,,,,,
Label,5.11.4.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.11.4.1.1,,Reacts to changes or novel stimuli by turning head or vocalizing.,,,,,,
Label,5.11.4.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.11.4.2.1,,Explores objects actively to learn more about them.,,,,,,
Label,5.11.4.3,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.11.4.3.1,,Looks for familiar objects or phenomena during exploration.,,,,,,
Label,5.11.4.4,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.11.4.4.1,,Gathers information by observing or interacting with phenomena.,,,,,,
Label,5.11.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.11.4.5.1,SCI.4.a,Can formulate qQuestions,,,,,,
Developmental Milestones,5.11.4.5.2,SCI.4.b,Understands the concept of gathering information to be analyzed later.,,,,,,
Developmental Milestones,5.11.4.5.3,SCI.4.c,Can use the beginnings of predictive reasoning.,,,,,,
Label,5.11.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.11.4.6.1,VII.D.3,Compares and categorizes,,,,PK,,Sorts toys by color or shape.
Developmental Milestones,5.11.4.6.1.1,VII.D.3.a,Identifies Similarities and Differences between objects in the natural world.,,,,PK,, Notices and Points out things that are the same or different in nature.
Developmental Milestones,5.11.4.6.1.2,VII.D.3.b,Grouping and Sorting,,,,PK,, Sort toys by color or shape.
Developmental Milestones,5.11.4.6.1.3,VII.D.3.c,Classifying Objects,,,,PK,, Sorts toys by color or shape.
Standard,5.11.4.6.2,VII.D.2,Uses simple tools for investigating and to make work easier,,,,PK,,Uses a spoon to scoop and eat food.
Developmental Milestones,5.11.4.6.2.1,VII.D.2.a,"Demonstrates proficiency in using basic investigation tools, such as magnifying glasses, rulers or simple software.",,,,PK,,Uses a magnifying glass to look closely at objects.
Developmental Milestones,5.11.4.6.2.2,VII.D.2.b,"Showcases ability to select and utilize appropriate tools to simplify tasks, such as child-safe scissors for cutting or multi-colored markers for organizing information.",,,,PK,, Chooses and Uses tools like safety scissors or markers to complete tasks.
Developmental Milestones,5.11.4.6.2.3,VII.D.2.c,"Exhibits understanding of the concept of tools as aid in different activities, both computer-based and hands-on, like puzzles, interactive games, and basic crafting materials.",,,,PK,, Uses tools like puzzles and games to help with activities.
Standard,5.11.4.6.3,VI.E.2,Collects and organizes data,,,,PK,,Sorts and groups toys by color or shape.
Developmental Milestones,5.11.4.6.3.1,VI.E.2.a,Identifying Data,,,,PK,,Recognizes and points to familiar shapes or objects.
Developmental Milestones,5.11.4.6.3.2,VI.E.2.b,Data Collection,,,,PK,,Collects objects and sorts them by color or shape.
Developmental Milestones,5.11.4.6.3.3,VI.E.2.c,Data Representation,,,,PK,, Points to or Shows objects when asked about them.
Standard,5.11.4.6.4,VII.D.4,Gathers information and makes predictions,,,,PK,,Explores objects and anticipates what happens next.
Developmental Milestones,5.11.4.6.4.1,VII.D.4.a,Information Collection,,,,PK,, Gather things to learn and explore.
Developmental Milestones,5.11.4.6.4.2,VII.D.4.b,Critical Analysis,,,,PK,," Explores and examines objects by looking, touching, and mouthing to understand their features."
Developmental Milestones,5.11.4.6.4.3,VII.D.4.c,Prediction Making,,,,PK,," ""Looks at a toy and guesses where it will roll."""
Standard,5.11.5,SCI.5,Child plans and conducts investigations and experiments,,,,,,
Label,5.11.5.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.11.5.1.1,,Reaches for or explores objects with curiosity.,,,,,,
Label,5.11.5.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.11.5.2.1,,"Experiments with actions, such as dropping objects to see what happens.",,,,,,
Label,5.11.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.11.5.3.1,,"Participates in guided exploration, like mixing colors or textures",,,,,,
Label,5.11.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.11.5.4.1,,"Completes simple experiments, like pouring water to observe movement",,,,,,
Label,5.11.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.11.5.5.1,SCI.5.a,Child formulates hypotheses or predictions',,,,,,
Developmental Milestones,5.11.5.5.2,SCI.5.b,Child gathers and uses data',,,,,,
Developmental Milestones,5.11.5.5.3,SCI.5.c,Child analyzes results and makes conclusions',,,,,,
Developmental Milestones,5.11.5.5.4,SCI.5.d,Acquire scientific knowledge related to life science (properties of living things).,,,,,,
Developmental Milestones,5.11.5.5.5,SCI.5.e,Acquire scientific knowledge related to earth science (properties of the earth and objects in the sky).,,,,,,
Label,5.11.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.11.5.6.1,VII.C.1,Investigates earth materials,,,,PK,,Plays with sand and rocks.
Developmental Milestones,5.11.5.6.1.1,VII.C.1.a,Identifies Characteristics of Various Earth Materials,,,,PK,, touches and Explores different types of rocks and soils.
Developmental Milestones,5.11.5.6.1.2,VII.C.1.b,Explores Properties of Earth Materials,,,,PK,," touches and Plays with sand, water, and rocks."
Developmental Milestones,5.11.5.6.1.3,VII.C.1.c,Understands Uses of Earth Materials,,,,PK,," Explores rocks, soil, and water by touching and playing with them."
Developmental Milestones,5.11.5.6.1.4,VII.C.1.d,Engage in play to explore the physical and natural world.,,,,PK,, play with objects to discover how things work in the world around them.
Standard,5.11.5.6.2,VII.B.5,Investigates relationship between living things/environment,,,,PK,,Looks closely at plants and animals to see how they interact with their surroundings.
Developmental Milestones,5.11.5.6.2.1,VII.B.5.a,Identification of Living Organisms,,,,PK,, Points to and names animals or plants they recognize.
Developmental Milestones,5.11.5.6.2.2,VII.B.5.b,Understanding Ecosystem Interactions,,,,PK,,Notice how animals and plants live together.
Developmental Milestones,5.11.5.6.2.3,VII.B.5.c,Exploration of Environmental Effects,,,,PK,,- **Discovers** how objects change when touched or moved.
Standard,5.11.5.6.3,VII.A.5,Investigates sources of energy,,,,PK,,Explores how things move or light up.
Developmental Milestones,5.11.5.6.3.1,VII.A.5.a,Identifying Different Types of Energy,,,,PK,," Points to or names different sources of energy, like the sun or a light bulb."
Developmental Milestones,5.11.5.6.3.2,VII.A.5.b,Understanding the Uses of Energy,,,,PK,, Explores how pushing and pulling objects makes them move.
Developmental Milestones,5.11.5.6.3.3,VII.A.5.c,Basic Knowledge of Energy Conservation,,,,PK,, turn off the light when leaving a room.
Standard,5.11.5.6.4,VII.A.2,Investigates properties of materials,,,,PK,, Explores and touches different objects to see what they feel like.
Developmental Milestones,5.11.5.6.4.1,VII.A.2.a,Identifies and Differentiates Materials,,,,PK,,Sorts and picks out different textures or items.
Developmental Milestones,5.11.5.6.4.2,VII.A.2.b,Engages in Experimentation,,,,PK,, Tries out new things to see what happens.
Developmental Milestones,5.11.5.6.4.3,VII.A.2.c,Describes Material Properties,,,,PK,, Points to or touches materials and says what they feel like.
Standard,5.11.5.6.5,VII.B.4,Investigates life cycles,,,,PK,, Watches how a caterpillar turns into a butterfly.
Developmental Milestones,5.11.5.6.5.1,VII.B.4.a,Recognizes the Stages of Life Cycles,,,,PK,, Notices and Points to pictures of baby animals and adult animals.
Developmental Milestones,5.11.5.6.5.2,VII.B.4.b,Tracks Life Cycle Progressions,,,,PK,, Watches and Follows the Changes in plants or animals over time.
Developmental Milestones,5.11.5.6.5.3,VII.B.4.c,Compares Different Life Cycles,,,,PK,, Notices how plants and animals grow and change.
Developmental Milestones,5.11.5.6.5.4,VII.B.4.d,"Child observes, describes, and discusses the life cycles of organisms.",,,,PK,,Watches and talks about how plants and animals grow and change.
Standard,5.11.5.6.6,VI.F.3,Uses mathematical strategies to solve problems,,,,PK,, Stacks blocks to figure out how to make a tall tower.
Developmental Milestones,5.11.5.6.6.1,VI.F.3.a,Recognizes and Applies Basic Number Concepts,,,,PK,, Points to and Counts small groups of objects.
Developmental Milestones,5.11.5.6.6.2,VI.F.3.b,Identifies Geometric Shapes and Spatial Relations,,,,PK,,Stacks blocks to create different shapes and notices how they fit together.
Developmental Milestones,5.11.5.6.6.3,VI.F.3.c,Utilizes Logical Thinking and Reasoning,,,,PK,, Stacks blocks to solve simple problems.
Standard,5.11.5.6.7,VII.A.3,Investigates position and motion of objects,,,,PK,,Moves and explores how objects change positions.
Developmental Milestones,5.11.5.6.7.1,VII.A.3.a,Understanding Basic Concepts of Position,,,,PK,,"- Points to or moves objects to show where things are, like ""in"" or ""on."""
Developmental Milestones,5.11.5.6.7.2,VII.A.3.b,Recognizing Changes in Motion,,,,PK,, Notices when a toy moves faster or slower.
Developmental Milestones,5.11.5.6.7.3,VII.A.3.c,Experimenting with Object Manipulation,,,,PK,," Picks up and Explores objects by shaking, banging, or throwing them."
Standard,5.11.5.6.8,VII.D.5,Plans and conducts experiments,,,,PK,, Tries new ways to play and see what happens.
Developmental Milestones,5.11.5.6.8.1,VII.D.5.a,Identifies Hypotheses,,,,PK,, Explores by trying out different ideas to see what happens.
Developmental Milestones,5.11.5.6.8.2,VII.D.5.b,Implements Procedures,,,,PK,, Follows simple steps.
Developmental Milestones,5.11.5.6.8.3,VII.D.5.c,Analyzes and Records Results,,,,PK,,Sorts objects and draws simple pictures to show findings.
Standard,5.11.6,SCI.6,"Child analyzes results, draws conclusions, and communicates results",,,,,,
Label,5.11.6.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.11.6.1.1,,Shows interest in changes in objects or surroundings.,,,,,,
Label,5.11.6.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.11.6.2.1,,Explores cause and effect through repeated actions.,,,,,,
Label,5.11.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.11.6.3.1,,"Shows simple understanding of results (e.g., “It fell down”).",,,,,,
Label,5.11.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.11.6.4.1,,Describes what happened after completing an experiment or activity.,,,,,,
Label,5.11.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.11.6.5.1,SCI.6.c,Expressive Communication,,,,,,
Developmental Milestones,5.11.6.5.2,SCI.6.b,Student uses critical thinking to analyze and interpret investigations.,,,,,,
Developmental Milestones,5.11.6.5.3,SCI.6.a,Data Interpreting,,,,,,
Label,5.11.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.11.6.6.1,VI.E.3,Understands graphs,,,,PK,, Points to or talks about pictures or objects to show simple comparisons.
Developmental Milestones,5.11.6.6.1.1,VI.E.3.a,Identifies Different Types of Graphs,,,,PK,, Points to or touches different shapes when shown.
Developmental Milestones,5.11.6.6.1.2,VI.E.3.b,Interprets Graph Data,,,,PK,, Points to pictures or objects to show understanding of simple patterns or groups.
Developmental Milestones,5.11.6.6.1.3,VI.E.3.c,Constructs Basic Graphs,,,,PK,, Sorts objects into groups and lines them up.
Standard,5.11.6.6.2,VI.F.2,Communicates using mathematical language,,,,PK,, Uses simple words to talk about numbers and shapes.
Developmental Milestones,5.11.6.6.2.1,VI.F.2.a,'Recognizes and uses basic mathematical terminology',,,,PK,, Points to and names shapes like circles and squares.
Developmental Milestones,5.11.6.6.2.2,VI.F.2.b,'Applies mathematical concepts in daily situations',,,,PK,," ""Counts objects during play."""
Developmental Milestones,5.11.6.6.2.3,VI.F.2.c,'Expresses mathematical reasoning verbally',,,,PK,,"- Says numbers and uses words like ""more"" or ""less"" during play."
Standard,5.11.6.6.3,VII.D.7,Analyzes results and draws conclusions,,,,PK,,Investigates objects to see what happens next.
Developmental Milestones,5.11.6.6.3.1,VII.D.7.a,Interprets Data,,,,PK,, Sorts objects by color or shape.
Developmental Milestones,5.11.6.6.3.2,VII.D.7.b,Logically Reasoning,,,,PK,, Sorts shapes and objects by size or color.
Developmental Milestones,5.11.6.6.3.3,VII.D.7.c,Formulates Conclusions,,,,PK,,- **Makes simple decisions based on what they see or hear.**
Standard,5.11.6.6.4,VII.D.8,Uses engineering and process skills to solve problems,,,,PK,,Builds and tests solutions to simple problems.
Developmental Milestones,5.11.6.6.4.1,VII.D.8.a,Applying problem-solving methods,,,,PK,, Tries different ways to reach a toy.
Developmental Milestones,5.11.6.6.4.2,VII.D.8.b,Utilizing basic engineering principles,,,,PK,, Builds simple structures using blocks.
Developmental Milestones,5.11.6.6.4.3,VII.D.8.c,Following sequential processes,,,,PK,, Stacks blocks in a specific order.
Cluster,5.12,FS,Forerunner Skills,,,,,,
Standard,5.12.1,FS-1,Child demonstrates classification,,,,,,
Label,5.12.1.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.12.1.1.1,,"Notices differences in textures, colors, or sizes of objects.",,,,,,
Label,5.12.1.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.12.1.2.1,,"Recognizes and selects similar items during play (e.g., stacking all yellow rings).",,,,,,
Label,5.12.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.12.1.3.1,,"Matches simple objects, like socks or blocks, by similarity.",,,,,,
Label,5.12.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.12.1.4.1,,"Sorts objects by two attributes, like size and color.",,,,,,
Label,5.12.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.12.1.5.1,FS-1.a,"Child can distinguish between different categories (i.e., color, size, shape).",,,,,,
Developmental Milestones,5.12.1.5.2,FS-1.b,Child can group objects or pictures based on shared characteristics.,,,,,,
Developmental Milestones,5.12.1.5.3,FS-1.c,Child can explain why they have grouped items in a particular way.,,,,,,
Label,5.12.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.12.1.6.1,VII.A.4,Measures objects,,,,PK,,Stacks blocks to see how tall they are.
Developmental Milestones,5.12.1.6.1.1,VII.A.4.a,Identifies and Compares Object Sizes,,,,PK,,Stacks blocks to see which one is taller.
Developmental Milestones,5.12.1.6.1.2,VII.A.4.b,Understanding Measurement Units,,,,PK,, Sorts toys by size or length during play.
Developmental Milestones,5.12.1.6.1.3,VII.A.4.c,Applying Measurement in Practical Situations,,,,PK,, Uses hands to fill and empty containers with sand or water.
Standard,5.12.1.6.2,VI.E.1,Sorts and describes objects,,,,PK,,Stacks and names toys by color or shape.
Developmental Milestones,5.12.1.6.2.1,VI.E.1.a,Categorization Skills,,,,PK,, Sorts toys by color or shape.
Developmental Milestones,5.12.1.6.2.2,VI.E.1.b,Descriptive Language Abilities,,,,PK,,Uses simple words to describe familiar objects and actions.
Developmental Milestones,5.12.1.6.2.3,VI.E.1.c,Observational Skills,,,,PK,, Looks closely at faces and objects.
Developmental Milestones,5.12.1.6.2.4,VI.E.1.d,Sort and group up to 5 objects into a set based upon characteristics such as color size and shape and explain verbally what the objects have in common.,,,,PK,," group toys by color, size, or shape and say why they go together."
Standard,5.12.2,FS-2,Child creates equal and unequal sets,,,,,,
Label,5.12.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.12.2.1.1,,"Notices changes in quantity, such as more or fewer toys.",,,,,,
Label,5.12.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.12.2.2.1,,"Pairs similar items (e.g., matching a spoon with a bowl).",,,,,,
Label,5.12.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.12.2.3.1,,Recognizes when two groups differ in quantity.,,,,,,
Label,5.12.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.12.2.4.1,,"Creates equal or unequal sets intentionally (e.g., “I have more cars than trucks!”).",,,,,,
Label,5.12.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.12.2.5.1,FS-2.b,Child Gesturally or Verbally Segregates Objects into Equal or Unequal Sets,,,,,,
Developmental Milestones,5.12.2.5.2,FS-2.a,Child Identifies Equal and Unequal Quantities,,,,,,
Developmental Milestones,5.12.2.5.3,FS-2.c,Child Demonstrates Understanding of the Concept through Drawing or Other Creative Means,,,,,,
Label,5.12.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.12.3,FS-3,Child demonstrates one-to-one correspondence,,,,,,
Label,5.12.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.12.3.1.1,,Reaches for individual objects sequentially.,,,,,,
Label,5.12.3.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.12.3.2.1,,"Matches simple objects, such as one spoon with one bowl.",,,,,,
Label,5.12.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.12.3.3.1,,"Begins assigning one object to each space or person (e.g., “One toy for you and one for me”).",,,,,,
Label,5.12.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.12.3.4.1,,"Uses one-to-one correspondence in simple play scenarios, like giving one plate to each doll.",,,,,,
Label,5.12.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.12.3.5.1,FS-3.a,Child accurately counts objects individually,,,,,,
Developmental Milestones,5.12.3.5.2,FS-3.b,Child matches objects to corresponding numbers,,,,,,
Developmental Milestones,5.12.3.5.3,FS-3.c,Child demonstrates understanding of 'one more' or 'one less',,,,,,
Label,5.12.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.12.4,FS-4,"Child recognizes, duplicates, and extends simple patterns",,,,,,
Label,5.12.4.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.12.4.1.1,,"Notices repeating visual or auditory stimuli, such as alternating lights or sounds.",,,,,,
Label,5.12.4.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.12.4.2.1,,"Mimics simple movements, like clapping hands or tapping.",,,,,,
Label,5.12.4.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.12.4.3.1,,"Imitates simple patterns, such as stacking blocks in alternating colors",,,,,,
Label,5.12.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.12.4.4.1,,"Extends simple patterns with help (e.g., adding to a red-blue-red sequence)",,,,,,
Label,5.12.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.12.4.5.1,FS-4.a,Child identifies and recognizes simple patterns in various contexts.,,,,,,
Developmental Milestones,5.12.4.5.2,FS-4.b,Child accurately duplicates given patterns using physical objects or drawings.,,,,,,
Developmental Milestones,5.12.4.5.3,FS-4.c,Child successfully extends existing simple patterns by adding appropriate elements.,,,,,,
Label,5.12.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.12.5,FS-5,Child identifies pattern core,,,,,,
Label,5.12.5.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.12.5.1.1,,Notices changes or repetitions in visual or auditory stimuli.,,,,,,
Label,5.12.5.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.12.5.2.1,,Attempts to mimic repeating movements or sounds.,,,,,,
Label,5.12.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.12.5.3.1,,"Identifies simple repetitive elements, like alternating block colors.",,,,,,
