Human Coding Scheme,Full Statement,Type,Smart Level
"drawings, constructions, demonstrations to show thinking (CD1.1l)60 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Shows more,Indicator,
"drawings, constructions, demonstrations to show thinking (CD1.1l)60 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Follows adult’s model,Indicator,
"drawings, constructions, demonstrations to show thinking (CD1.1l)60 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Reacts to and,Indicator,
"drawings, constructions, demonstrations to show thinking (CD1.1l)60 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)","With adult support,",Indicator,
"drawings, constructions, demonstrations to show thinking (CD1.1l)60 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Uses mathematical,Indicator,
"drawings, constructions, demonstrations to show thinking (CD1.1l)60 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)","Uses drawing,",Indicator,
"drawings, constructions, demonstrations to show thinking (CD1.1l)60 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)","With adult guidance,",Indicator,
"drawings, constructions, demonstrations to show thinking (CD1.1l)60 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)","Analyzes results,",Indicator,
"drawings, constructions, demonstrations to show thinking (CD1.1l)60 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Collaborates with,Indicator,
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Infancy,Developmental Indicator,0-8
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsEarly Toddler,Developmental Indicator,6-14
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Toddler,Developmental Indicator,12-24
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsEarly Preschool,Developmental Indicator,22-36
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Preschool,Developmental Indicator,34-48
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),months,Developmental Indicator,44-60
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),"Reacts to, and carefully",Indicator,
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Shows preference for a,Indicator,
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),"Makes comments,",Indicator,
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Helps with daily,Indicator,
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Communicates about,Indicator,
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Communicates about,Indicator,
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Communicates about,Indicator,
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Uses props and,Indicator,
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Uses visual arts such,Indicator,
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Uses props and,Indicator,
others to conduct investigations (CD1.2q)61 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Shows more,Indicator,
"detail in drawings, buildings, models, and performances, reflecting their thinking and understanding about social connections (CD2.1p)62 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsLater Infancy,Developmental Indicator,0-8
"detail in drawings, buildings, models, and performances, reflecting their thinking and understanding about social connections (CD2.1p)62 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsEarly Toddler,Developmental Indicator,6-14
"detail in drawings, buildings, models, and performances, reflecting their thinking and understanding about social connections (CD2.1p)62 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsLater Toddler,Developmental Indicator,12-24
"detail in drawings, buildings, models, and performances, reflecting their thinking and understanding about social connections (CD2.1p)62 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsEarly Preschool,Developmental Indicator,22-36
"detail in drawings, buildings, models, and performances, reflecting their thinking and understanding about social connections (CD2.1p)62 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsLater Preschool,Developmental Indicator,34-48
"detail in drawings, buildings, models, and performances, reflecting their thinking and understanding about social connections (CD2.1p)62 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",months,Developmental Indicator,44-60
"detail in drawings, buildings, models, and performances, reflecting their thinking and understanding about social connections (CD2.1p)62 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Shows preference for,Indicator,
"detail in drawings, buildings, models, and performances, reflecting their thinking and understanding about social connections (CD2.1p)62 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Participates as a,Indicator,
"detail in drawings, buildings, models, and performances, reflecting their thinking and understanding about social connections (CD2.1p)62 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Uses positive social,Indicator,
"detail in drawings, buildings, models, and performances, reflecting their thinking and understanding about social connections (CD2.1p)62 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)","With adult help,",Indicator,
"participates with peers in solving problems, settling conflicts, and negotiating plans and decisions (CD2.2i)63 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsLater Infancy,Developmental Indicator,0-8
"participates with peers in solving problems, settling conflicts, and negotiating plans and decisions (CD2.2i)63 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsEarly Toddler,Developmental Indicator,6-14
"participates with peers in solving problems, settling conflicts, and negotiating plans and decisions (CD2.2i)63 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsLater Toddler,Developmental Indicator,12-24
"participates with peers in solving problems, settling conflicts, and negotiating plans and decisions (CD2.2i)63 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsEarly Preschool,Developmental Indicator,22-36
"participates with peers in solving problems, settling conflicts, and negotiating plans and decisions (CD2.2i)63 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsLater Preschool,Developmental Indicator,34-48
"participates with peers in solving problems, settling conflicts, and negotiating plans and decisions (CD2.2i)63 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",months,Developmental Indicator,44-60
"participates with peers in solving problems, settling conflicts, and negotiating plans and decisions (CD2.2i)63 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Notices an unfamiliar,Indicator,
"participates with peers in solving problems, settling conflicts, and negotiating plans and decisions (CD2.2i)63 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Follows caregiver,Indicator,
"participates with peers in solving problems, settling conflicts, and negotiating plans and decisions (CD2.2i)63 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Represents self and,Indicator,
"participates with peers in solving problems, settling conflicts, and negotiating plans and decisions (CD2.2i)63 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",With adult,Indicator,
"participates with peers in solving problems, settling conflicts, and negotiating plans and decisions (CD2.2i)63 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Communicates about,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Infancy,Developmental Indicator,0-8
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsEarly Toddler,Developmental Indicator,6-14
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Toddler,Developmental Indicator,12-24
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsEarly Preschool,Developmental Indicator,22-36
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Preschool,Developmental Indicator,34-48
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),months,Developmental Indicator,44-60
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),After observing,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Can name and,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Compares,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Begins to match,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Uses number,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Imitates an adult,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Continues,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Uses own fingers,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Instantly,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Begins to,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Counts up to 5,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Compares sets of,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Counts backwards from 5 (CD3.1r),Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Shows accuracy in demonstrating one-,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Counts up to 10 objects in a line (CD3.1t),Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Answers the question “How many?” for up,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Counts out 10-20 objects in a line from a,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Instantly recognizes a collection of up to,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),objects (i.e. subitizes) (CD3.1w),Developmental Indicator,10
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Uses words that mean zero such as,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Shows a quantity to match a numeral by,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Compares sets of objects that range in size,Indicator,
own family’s culture and traditions and accepts that children and families are different (CD2.3j)64 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Arranges images with 3 or more different,Indicator,
quantities of objects in correct order (CD3.1aa)65 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Infancy,Developmental Indicator,0-8
quantities of objects in correct order (CD3.1aa)65 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsEarly Toddler,Developmental Indicator,6-14
quantities of objects in correct order (CD3.1aa)65 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Toddler,Developmental Indicator,12-24
quantities of objects in correct order (CD3.1aa)65 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsEarly Preschool,Developmental Indicator,22-36
quantities of objects in correct order (CD3.1aa)65 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Preschool,Developmental Indicator,34-48
quantities of objects in correct order (CD3.1aa)65 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),months,Developmental Indicator,44-60
quantities of objects in correct order (CD3.1aa)65 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),"With adult help, subtracts (separates)",Indicator,
quantities of objects in correct order (CD3.1aa)65 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Solves subtraction (separating),Indicator,
quantities of objects in correct order (CD3.1aa)65 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),"With adult help, uses “counting on”",Indicator,
quantities of objects in correct order (CD3.1aa)65 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),"With adult help, uses “counting back",Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsLater Infancy,Developmental Indicator,0-8
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsEarly Toddler,Developmental Indicator,6-14
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsLater Toddler,Developmental Indicator,12-24
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsEarly Preschool,Developmental Indicator,22-36
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsLater Preschool,Developmental Indicator,34-48
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",months,Developmental Indicator,44-60
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Explores,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Places one block,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)","Plays with blocks,",Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Uses blocks or,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Sorts items or,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Recognizes,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Responds to,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Stacks 4 or more,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Recognizes and names a typical,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Matches some shapes that are,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Describes the spatial features of,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Uses words about position,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Uses words about direction and,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)","In outside play, uses and",Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)","Correctly names squares,",Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Describes attributes of two and,Indicator,
"from” as a strategy to solve subtraction (separating) problems (e.g., To take away 3 from 5, “5,4,3...leaves 2”) (CD3.2f)66 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",Draws and describes pictures,Indicator,
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Infancy,Developmental Indicator,0-8
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsEarly Toddler,Developmental Indicator,6-14
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Toddler,Developmental Indicator,12-24
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsEarly Preschool,Developmental Indicator,22-36
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),monthsLater Preschool,Developmental Indicator,34-48
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),months,Developmental Indicator,44-60
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Shows a beginning,Indicator,
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Anticipates the next,Indicator,
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Imitates patterns,Indicator,
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Imitates adult’s words,Indicator,
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Predicts the next word,Indicator,
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Recognizes and,Indicator,
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),"With adult help, fills in",Indicator,
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Fills in missing,Indicator,
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),"Recognizes, names,",Indicator,
that show relative locations and uses terms like “near to” or “closer to” (CD3.3v)67 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD),Describes quantitative,Indicator,
"changes (e.g., “I am two years older than when I started school.”) (CD3.4o)68 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsLater Infancy,Developmental Indicator,0-8
"changes (e.g., “I am two years older than when I started school.”) (CD3.4o)68 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsEarly Toddler,Developmental Indicator,6-14
"changes (e.g., “I am two years older than when I started school.”) (CD3.4o)68 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FIVE: COGNITIVE DEVELOPMENT (CD)",monthsLater Toddler,Developmental Indicator,12-24
